season,fbrefSeason,league,sourceFile,Player,Squad,ScreenshotSource,statType,Pos,90s,Gls,Sh,SoT,PK,PKatt,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,CS,CS%,Ast,CrdY,CrdR
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Pau Cubarsi,Barcelona,true,shooting,pr,30,1,10,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Eric Garcia,Barcelona,true,shooting,rMF,28.9,1,24,7,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Joan Garcia,Barcelona,true,shooting,ck,29,0,0,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Lamine Yamal,Barcelona,true,shooting,MrFW,25.1,16,117,37,3,4,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Gerard Martin,Barcelona,true,shooting,pr,0,6,3,50,,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,ules Kound̩,Barcelona,true,shooting,pr,24.1,1,13,3,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Dani Olmo,Barcelona,true,shooting,mF,22.1,7,69,21,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Pedi,Barcelona,true,shooting,MF,22.4,2,21,10,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Ferr̩n Torres,Barcelona,true,shooting,Fw,20.9,16,67,36,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,JAlgjandroBalde,Barcelona,true,shooting,OF,19.3,0,8,1,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Fermin Lopez,Barcelona,true,shooting,mr,19.5,6,65,23,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Marcus Rashford,Barcelona,true,shooting,MFFW,18.6,8,76,29,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Raphinha,Barcelona,true,shooting,MrFW,14.6,11,60,20,3,3,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,FrenkiedeJong,Barcelona,true,shooting,MF,17.9,1,7,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Robert Lewandowski,Barcelona,true,shooting,FW,16.6,13,60,28,1,3,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Ronald Aratijo SB,Barcelona,true,shooting,DF,11.1,3,11,5,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Marc Casado,Barcelona,true,shooting,mF,10.8,0,11,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,oo Cancelo,Barcelona,true,shooting,pr,9.5,1,11,3,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Wojciech Szczesny,Barcelona,true,shooting,GK,7,0,0,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,JRoony Bardahii,Barcelona,true,shooting,MFFW,6.9,1,21,12,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Andreas Christensen,Barcelona,true,shooting,DF,4.2,0,2,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Xavi Espart,Barcelona,true,shooting,pr,0,0,0,,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Drofem̩ndez,Barcelona,true,shooting,MF,0,0,0,,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Alvaro Cortes,Barcelona,true,shooting,pr,1,0,0,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,fTonifern̩ndee,Barcelona,true,shooting,FW,0.5,0,0,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Jofre Torrents,Barcelona,true,shooting,pr,0,0,0,,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Tomas Marques,Barcelona,true,shooting,MF,0.1,0,0,0,,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Pau Cubarsi,Barcelona,true,shooting,pr,30,1,10,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Eric Garcia,Barcelona,true,shooting,rMF,28.9,1,24,7,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Joan Garcia,Barcelona,true,shooting,ck,29,0,0,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Lamine Yamal,Barcelona,true,shooting,MrFW,25.1,16,117,37,3,4,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Gerard Martin,Barcelona,true,shooting,pr,0,6,3,50,,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,ules Kound̩,Barcelona,true,shooting,pr,24.1,1,13,3,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Dani Olmo,Barcelona,true,shooting,mF,22.1,7,69,21,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Pedi,Barcelona,true,shooting,MF,22.4,2,21,10,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Ferr̩n Torres,Barcelona,true,shooting,Fw,20.9,16,67,36,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,JAlgjandroBalde,Barcelona,true,shooting,OF,19.3,0,8,1,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Fermin Lopez,Barcelona,true,shooting,mr,19.5,6,65,23,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Marcus Rashford,Barcelona,true,shooting,MFFW,18.6,8,76,29,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Raphinha,Barcelona,true,shooting,MrFW,14.6,11,60,20,3,3,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,FrenkiedeJong,Barcelona,true,shooting,MF,17.9,1,7,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Robert Lewandowski,Barcelona,true,shooting,FW,16.6,13,60,28,1,3,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Ronald Aratijo SB,Barcelona,true,shooting,DF,11.1,3,11,5,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Marc Casado,Barcelona,true,shooting,mF,10.8,0,11,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,oo Cancelo,Barcelona,true,shooting,pr,9.5,1,11,3,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Wojciech Szczesny,Barcelona,true,shooting,GK,7,0,0,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,JRoony Bardahii,Barcelona,true,shooting,MFFW,6.9,1,21,12,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Andreas Christensen,Barcelona,true,shooting,DF,4.2,0,2,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Xavi Espart,Barcelona,true,shooting,pr,0,0,0,,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Drofem̩ndez,Barcelona,true,shooting,MF,0,0,0,,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Alvaro Cortes,Barcelona,true,shooting,pr,1,0,0,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,fTonifern̩ndee,Barcelona,true,shooting,FW,0.5,0,0,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Jofre Torrents,Barcelona,true,shooting,pr,0,0,0,,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658.png,Tomas Marques,Barcelona,true,shooting,MF,0.1,0,0,0,,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124950.png,oan Garcia Tese,Barcelona,true,goalkeeping,GK,29,,,,,,29,29,2610,20,0.69,91,73,80.2,15,7,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124950.png,lwojciech Szczesny yg POL,Barcelona,true,goalkeeping,GK,7,,,,,,7,7,630,12,1.71,29,19,621,0,0,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,Luke Shaw,Man United,true,standard,DF,33.9,0,,,0,0,36,35,3048,,,,,,,,1,8,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,lSrvanMbeumo,Man United,true,standard,MFFW,27.3,9,,,0,0,31,29,2457,,,,,,,,3,4,10.33
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,Diogo Dalot,Man United,true,standard,FMF,28,1,,,0,0,33,28,2524,,,,,,,,3,0,0.04
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,Matheus Cunha,Man United,true,standard,MFFW,26.8,9,,,0,0,32,28,2415,,,,,,,,2,4,0.34
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,JAmad Diallo,Man United,true,standard,mr,26.2,2,,,0,0,30,25,2361,,,,,,,,2,2,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,lLeny Yoro,Man United,true,standard,pF,19.1,0,,,0,0,31,18,1723,,,,,,,,0,1,6
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,lBeniaminSesko,Man United,true,standard,FW,18.3,11,,,0,0,30,17,1643,,,,,,,,1,2,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,lHarry Maguire,Man United,true,standard,OF,16.4,1,,,0,0,21,17,1473,,,,,,,,2,3,1
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,Kobbie Msinco,Man United,true,standard,MF,16.5,1,,,0,0,26,14,1482,,,,,,,,2,1,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,Patrick Dorgu,Man United,true,standard,mF,15.3,3,,,0,0,24,14,1377,,,,,,,,3,5,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,lMatthijsde List,Man United,true,standard,oF,13,1,,,0,0,13,13,1170,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,lLisandro Martinez,Man United,true,standard,DF,11.7,0,,,0,0,16,11,1053,,,,,,,,0,0,1
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,Mason Mount,Man United,true,standard,MF,10.4,3,,,0,0,21,11,934,,,,,,,,0,2,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,lavden Heaven,Man United,true,standard,DF,10.3,0,,,0,0,17,11,924,,,,,,,,1,2,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,NoussairMazraoui,Man United,true,standard,OFMF,10.1,0,,,0,3,19,10,912,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,Manuel Ugarte,Man United,true,standard,MF,9.9,0,,,1,0,22,8,887,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,laltayBavndr,Man United,true,standard,GK,0.4,0,,,0,0,6,6,40,,,,,,,,0,6,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,Joshua Zirkee,Man United,true,standard,FWMF,6.6,2,,,0,0,22,5,598,,,,,,,,1,3,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,BenditoMantato,Man United,true,standard,MF,0.2,0,,,0,0,1,0,16,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,shea Lacey,Man United,true,standard,Fw,0.2,0,,,0,0,2,0,14,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,Tyrell Malacia,Man United,true,standard,OF,0.1,0,,,0,0,2,0,9,,,,,,,,0,6,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,lTvlerFredricson,Man United,true,standard,DF,0,0,,,0,0,1,0,3,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125304.png,Tvler Fletcher,Man United,true,standard,MF,0,0,,,0,0,1,100,0,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Luke Shaw,Man United,true,shooting,DF,33.9,0,8,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Bruno femandes,Man United,true,shooting,MF,32,8,79,22,4,6,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,casemiro,Man United,true,shooting,MF,27.7,9,49,18,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,sennelammens,Man United,true,shooting,ck,30,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,lSrvanMbeumo,Man United,true,shooting,MFFW,27.3,9,66,30,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Diogo balot,Man United,true,shooting,DF.MF,28,1,23,6,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Matheus Cunha,Man United,true,shooting,MFFW,26.8,9,86,34,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Amad Diallo,Man United,true,shooting,MF,24,2,49,20,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,lLeny Yoro,Man United,true,shooting,pF,19.1,0,9,3,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,lBeniaminSesko,Man United,true,shooting,FW,18.3,11,61,34,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Harry Maguire,Man United,true,shooting,DF,16.4,1,13,4,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Kobbie Mineo,Man United,true,shooting,MF,16.5,1,11,3,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Patrick Dorgu,Man United,true,shooting,MF,15.3,3,21,7,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,lMatthijs de List,Man United,true,shooting,OF,13,1,11,3,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,lLisandro Martinez,Man United,true,shooting,DF,11.7,0,4,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Mason Mount,Man United,true,shooting,MF,10.4,3,18,5,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,lavden Heaven,Man United,true,shooting,DF,10.3,0,3,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,NoussairMazraoui,Man United,true,shooting,DFMF,10.1,0,5,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Manuel Ugarte,Man United,true,shooting,MF,9.9,0,13,1,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,JaltayBavindr,Man United,true,shooting,GK,6,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Joshua Zirkzee,Man United,true,shooting,FWMF,6.6,2,22,7,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Jack Fletcher,Man United,true,shooting,MF,1.2,0,1,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,lBendito Mantato,Man United,true,shooting,MF,0.2,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,shea Lacey,Man United,true,shooting,Fw,0.2,0,3,1,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,TwellMalacia,Man United,true,shooting,DF,0.1,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Tvler Fredricson,Man United,true,shooting,DF,0,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 125418.png,Itvier Fletcher,Man United,true,shooting,MF,0,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Federico Valverde,Real Madrid,true,standard,MFDF,29.4,5,,,0,3,32,30,2650,,,,,,,,8,1,17
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Vinicius J̩nior,Real Madrid,true,standard,FWMF,29.4,15,,,4,8,34,30,2649,,,,,,,,5,0,0.51
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Thibaut Courtois,Real Madrid,true,standard,GK,29,0,,,0,0,29,29,2610,,,,,,,,0,1,0
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Jaur̩lien Tchouam̩ni,Real Madrid,true,standard,MF,27.6,1,,,0,0,31,29,2483,,,,,,,,0,8,0.04
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Kvlian Mbapo̩,Real Madrid,true,standard,rw,26.6,24,,,8,9,28,27,2397,,,,,,,,4,4,6
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,arda Guler,Real Madrid,true,standard,mr,22.2,4,,,0,0,32,25,1997,,,,,,,,9,1,0
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Alvaro Carreras,Real Madrid,true,standard,pr,23.9,2,,,0,0,26,24,2152,,,,,,,,2,5,1
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Dean Hulisen,Real Madrid,true,standard,opr,21.4,2,,,0,0,26,23,1923,,,,,,,,2,7,1
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Jude Bellingham,Real Madrid,true,standard,mF,19.2,4,,,0,0,25,20,1730,,,,,,,,4,2,0.21
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Rail Asencio,Real Madrid,true,standard,pr,17,2,,,0,0,21,16,1528,,,,,,,,0,4,0
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Eduardo Camavings,Real Madrid,true,standard,MF,15.7,1,,,0,2,27,15,1417,,,,,,,,0,0,0.06
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Antonio Rudiger,Real Madrid,true,standard,pF,15.6,1,,,0,0,17,15,1400,,,,,,,,0,0,6
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Eder Militao,Real Madrid,true,standard,pr,12.7,2,,,0,0,16,14,1139,,,,,,,,1,2,0
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Trent Alexander-Arnold,Real Madrid,true,standard,DF,12.1,0,,,0,0,19,13,1086,,,,,,,,4,4,0
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125603.png,Brahim Diaz,Real Madrid,true,standard,mrrw,12.1,0,,,0,0,27,11,1088,,,,,,,,5,2,6
